,Id,gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,decision,probability
1847,x3598e,female,28,Dutch,Chess,64,False,True,False,False,2,True,bachelor,B,False,0.2582253709914378
2839,x6188b,male,27,Dutch,Football,51,False,False,False,False,1,False,bachelor,C,False,0.02972996451787707
366,x4681f,male,29,Dutch,Football,54,True,False,False,True,2,False,master,A,False,0.7268633785820711
2897,x9169f,female,25,Dutch,Running,60,False,False,False,False,1,True,bachelor,C,False,0.012855334427164935
2832,x9060g,male,24,Dutch,Football,55,True,False,False,True,2,False,bachelor,C,False,0.026445486181903385
3716,x5076e,male,29,German,Rugby,69,False,True,True,False,0,True,phd,D,True,0.48279258902682154
2855,x4575d,male,21,Dutch,Cricket,73,False,True,False,False,2,True,master,C,False,0.36526732515400945
2251,x7318b,female,27,German,Swimming,60,False,False,False,False,0,False,bachelor,C,False,0.013198848469662103
2990,x2383d,female,31,German,Rugby,54,False,False,True,False,0,False,master,C,False,0.10001328011819739
3944,x6466g,male,26,Dutch,Swimming,64,True,True,False,True,3,True,bachelor,D,False,0.03929754362496709
656,x3616b,male,28,Belgian,Cricket,63,False,False,False,False,1,False,bachelor,A,False,0.694330227683316
1283,x5742g,female,25,Dutch,Chess,60,False,False,False,False,0,False,bachelor,B,False,0.00014660298952594148
2358,x4144d,female,28,Dutch,Football,58,False,False,True,False,0,False,bachelor,C,False,0.03876303177311488
1750,x9123b,female,24,Dutch,Chess,65,False,True,False,False,0,True,bachelor,B,False,5.485472206749097e-05
359,x8304f,male,25,Dutch,Football,67,False,False,False,False,1,True,bachelor,A,False,0.3825687353850131
1668,x5742d,female,21,Dutch,Swimming,67,False,True,False,False,1,True,master,B,False,0.005599987383035932
2729,x5357f,female,32,Dutch,Swimming,64,False,False,False,False,1,False,master,C,True,0.8589118201222309
3771,x1097e,female,21,Dutch,Tennis,75,False,True,False,False,2,True,master,D,True,0.9219504776484458
10,x9775f,female,27,Dutch,Football,61,False,False,False,False,1,True,bachelor,A,False,0.1766638657672191
3181,x8104e,female,22,Dutch,Cricket,69,False,True,False,False,1,True,master,D,True,0.9335801430722426
403,x9703f,female,28,Dutch,Swimming,70,False,True,False,False,2,True,bachelor,A,False,0.7554131358437772
3798,x8042e,male,26,Belgian,Football,61,False,False,False,False,1,False,bachelor,D,False,0.015594610526747384
1308,x2055a,male,26,Dutch,Rugby,62,False,False,False,False,2,False,master,B,True,0.748092555502924
2286,x9986c,female,30,Dutch,Football,65,False,False,True,False,1,False,master,C,True,0.9455546989047464
3834,x8473c,female,25,Dutch,Running,73,False,True,False,False,2,True,master,D,True,0.9668161490811444
349,x4923e,male,29,Dutch,Rugby,50,True,False,False,False,2,False,bachelor,A,False,0.08148275136526502
3997,x1202g,male,24,Belgian,Rugby,60,True,False,False,True,2,False,bachelor,D,False,0.009547019934068689
786,x4238c,female,22,Dutch,Football,70,False,True,False,False,2,True,bachelor,A,False,0.2648008339913893
1711,x4240e,female,30,Dutch,Football,65,False,True,True,False,1,False,bachelor,B,False,0.012119889189632313
3305,x7752d,female,26,Dutch,Football,68,False,False,False,False,1,True,master,D,False,0.9247180699188086
2731,x6516c,male,32,German,Football,62,False,False,False,False,0,False,bachelor,C,False,0.01663728629353891
3014,x9423f,other,23,Dutch,Chess,67,False,True,False,False,1,True,master,D,True,0.824626566238535
427,x7089g,male,22,Dutch,Football,71,False,True,False,False,1,True,master,A,True,0.5549549948706625
2225,x5832f,female,27,Dutch,Swimming,67,False,True,False,False,0,True,master,C,False,0.01595029830920085
908,x3383c,female,23,Dutch,Chess,74,False,True,False,False,1,True,master,A,True,0.6498504474201008
469,x5446f,male,28,Dutch,Football,59,False,False,True,False,2,False,bachelor,A,True,0.8507554256017831
3891,x6677e,female,27,German,Cricket,56,False,False,False,False,0,False,master,D,False,0.002506642611376008
1444,x7974e,female,25,Dutch,Chess,60,True,False,False,False,1,True,bachelor,B,False,0.013595446608084894
1367,x5078b,male,29,Dutch,Cricket,66,False,True,True,False,0,True,master,B,False,6.041531493240277e-05
1346,x8686a,male,27,Dutch,Football,54,False,False,False,False,2,False,bachelor,B,True,0.45286096492887024
3249,x5035a,female,25,Dutch,Chess,63,False,False,True,False,1,True,master,D,False,0.42068006827384735
480,x6759c,female,24,Dutch,Swimming,67,False,True,False,False,0,True,bachelor,A,False,0.005465528164102222
1626,x4990c,other,31,Dutch,Golf,59,False,False,True,False,1,False,master,B,False,0.014901946214474836
3567,x6114b,female,23,Dutch,Swimming,59,False,False,False,False,1,False,bachelor,D,False,0.022317470578527922
3663,x2134a,male,28,Dutch,Football,67,False,True,False,False,1,True,bachelor,D,True,0.5659142130075402
798,x9303d,female,26,German,Running,66,False,True,False,False,1,True,bachelor,A,True,0.07901380837216063
97,x6477e,female,28,Dutch,Chess,71,False,True,False,False,2,True,master,A,False,0.979068765024013
2377,x9347d,male,27,Dutch,Running,67,False,True,False,False,1,True,master,C,False,0.11756673714474536
259,x2739c,female,27,Dutch,Running,69,False,True,True,False,1,True,master,A,False,0.4241759623424481
2698,x8574f,male,32,Dutch,Golf,67,False,True,False,False,2,True,master,C,False,0.5559571020810469
3402,x1137e,female,28,Dutch,Football,68,False,False,False,False,1,True,master,D,True,0.8925859873332215
2774,x7999f,female,25,Dutch,Swimming,63,False,False,False,False,2,False,bachelor,C,False,0.3823204014585406
2250,x9646g,male,28,Dutch,Rugby,68,False,False,True,False,2,False,master,C,True,0.9959313596172532
2370,x4555e,male,24,German,Swimming,60,False,False,False,True,2,False,bachelor,C,False,0.051197049849842635
2540,x5628f,male,25,Dutch,Rugby,64,True,False,True,True,3,False,master,C,False,0.9290546950224536
2071,x4235f,female,29,Dutch,Golf,56,False,False,False,False,0,False,master,C,True,0.017505794814141763
2656,x2686e,male,29,Belgian,Rugby,62,False,False,True,False,0,False,master,C,False,0.2944743454079946
105,x7636c,female,22,German,Golf,63,True,False,False,True,2,True,bachelor,A,False,0.08903847972337303
772,x4138f,male,27,Belgian,Running,63,False,True,False,False,0,True,bachelor,A,False,0.0017765363108227282
1356,x5893a,male,24,Dutch,Swimming,70,False,True,True,False,2,True,master,B,True,0.4635213137507639
205,x5687d,male,24,Dutch,Swimming,66,True,True,False,True,2,True,bachelor,A,False,0.2005216254182769
1915,x8285d,male,30,Dutch,Rugby,57,True,False,False,True,3,False,master,B,True,0.9968999530016088
532,x5100b,male,28,Dutch,Rugby,58,True,False,False,True,3,False,bachelor,A,True,0.2870036578982759
591,x8629f,female,21,German,Swimming,63,False,False,False,False,1,False,master,A,True,0.7373849557692774
3634,x6711d,female,22,Dutch,Running,71,False,True,False,False,1,True,master,D,True,0.8784161451312584
323,x9986f,female,27,German,Tennis,66,False,False,True,True,2,False,master,A,True,0.9934840097029086
432,x8580d,female,27,Dutch,Golf,64,False,False,True,False,1,False,phd,A,True,0.637062056998424
957,x9910f,female,29,Dutch,Golf,61,False,False,False,False,1,False,master,A,True,0.5813636404328826
595,x1679a,male,22,Dutch,Football,74,True,True,False,False,2,True,master,A,True,0.8527324068162674
5,x9063d,female,26,Dutch,Chess,63,False,False,False,False,1,True,bachelor,A,True,0.30346147032613663
3359,x8632d,female,30,Dutch,Rugby,63,False,True,False,False,0,True,phd,D,False,0.2726982340190356
2710,x5343c,female,30,Dutch,Golf,56,False,False,True,False,0,False,master,C,True,0.06401373877789154
3994,x1831e,male,27,Dutch,Football,69,False,True,False,False,1,True,master,D,False,0.932705458846608
3637,x7047b,female,26,Dutch,Football,65,False,False,True,False,1,True,master,D,True,0.7087764549554835
3641,x9544e,female,26,Dutch,Chess,69,False,False,False,False,1,True,master,D,True,0.9061896034172163
3094,x8354e,male,27,Dutch,Football,55,False,False,True,False,1,False,master,D,False,0.004173029407907631
213,x3550a,male,24,Dutch,Football,65,True,False,False,True,3,False,bachelor,A,True,0.7284275720074163
3962,x4819d,female,28,Dutch,Chess,68,False,True,False,False,0,True,master,D,False,0.21320339490584908
3787,x7541e,female,22,Dutch,Football,61,True,False,False,False,2,False,bachelor,D,False,0.017613913157208883
3349,x2411e,female,28,Dutch,Chess,66,True,True,False,False,1,True,bachelor,D,True,0.5437721986913919
2582,x9796g,male,25,Dutch,Football,54,True,False,False,True,2,False,bachelor,C,False,0.029048696268922158
290,x9271d,male,26,Dutch,Running,64,False,False,False,False,2,True,bachelor,A,True,0.6535402071876233
2153,x7030e,female,29,Dutch,Swimming,50,True,False,False,False,2,False,bachelor,C,False,0.02115862641405715
247,x9175d,male,26,Dutch,Rugby,63,True,False,False,True,3,False,bachelor,A,True,0.6518905690540159
2501,x9629d,female,27,Dutch,Swimming,63,True,False,False,True,2,False,master,C,False,0.7667186578430822
1027,x1271e,female,24,Dutch,Chess,58,False,False,False,False,0,False,bachelor,B,False,0.0001357059136710386
31,x7785e,female,31,Belgian,Golf,61,False,False,False,False,1,False,bachelor,A,True,0.39524522684620766
2187,x1179d,male,29,Dutch,Rugby,56,False,False,True,False,0,False,bachelor,C,True,0.09096436189351229
3465,x4358b,male,27,Dutch,Swimming,63,False,False,False,True,2,False,bachelor,D,False,0.051124225468365675
2529,x1605a,male,28,German,Golf,69,False,False,False,False,2,True,master,C,False,0.5329457279904171
3321,x4968c,male,29,Dutch,Football,58,True,False,False,False,2,False,master,D,False,0.06028823424856522
317,x7940a,male,31,Dutch,Cricket,67,False,False,True,False,0,True,phd,A,False,0.016998657414753853
676,x9301g,female,23,Dutch,Swimming,71,False,True,False,False,1,True,master,A,False,0.5938432713727875
1654,x4696e,female,24,Dutch,Running,75,False,True,False,False,2,True,master,B,True,0.3164212747001428
2994,x3952f,male,21,Dutch,Tennis,61,True,False,False,False,2,False,bachelor,C,True,0.03778414839885358
2069,x8394b,female,24,Dutch,Golf,71,False,True,False,False,1,True,master,C,False,0.09940830045287458
2695,x1233d,female,28,Dutch,Swimming,61,False,False,True,False,1,False,bachelor,C,True,0.8122355769031521
1135,x4370g,male,30,Belgian,Football,62,False,False,False,False,2,False,bachelor,B,True,0.5872873578509716
29,x2883f,male,26,Dutch,Football,65,False,False,False,False,1,True,bachelor,A,False,0.32192432138094995
3844,x5816d,female,26,Dutch,Swimming,59,False,False,False,False,0,False,bachelor,D,False,0.003543927673884796
2412,x8381b,male,28,Dutch,Football,58,True,False,False,False,2,False,bachelor,C,False,0.14151196662509963
934,x3369d,female,21,Dutch,Chess,64,False,True,False,False,2,True,bachelor,A,False,0.27361867585848104
1917,x1845e,male,29,Dutch,Swimming,68,True,True,False,True,3,False,bachelor,B,True,0.9776815201013118
526,x4201d,male,22,Dutch,Football,64,False,False,False,False,1,True,bachelor,A,False,0.1745404877612326
2798,x8112g,male,25,Dutch,Football,59,True,False,True,True,2,False,master,C,True,0.8607460549044412
1664,x8401c,male,25,Dutch,Tennis,57,False,False,False,True,2,False,master,B,True,0.8724759284926283
1457,x3178e,male,25,Dutch,Rugby,59,False,False,False,False,1,False,bachelor,B,False,0.035820890694663154
1243,x9572d,female,23,Belgian,Running,63,False,False,False,False,1,True,bachelor,B,False,0.0034688400475644233
3704,x8185a,male,27,German,Swimming,63,False,False,True,False,1,False,master,D,False,0.07143580846796199
1129,x9233b,male,28,Dutch,Cricket,67,False,True,False,True,2,True,bachelor,B,True,0.4668342055905713
3661,x6323a,female,25,Dutch,Chess,58,False,False,False,False,0,False,bachelor,D,False,0.0022582068138444376
716,x9349e,female,22,Dutch,Chess,60,False,True,False,False,0,True,bachelor,A,False,0.0020691280172639354
2387,x9211c,female,25,German,Swimming,63,False,False,False,False,1,True,bachelor,C,False,0.01578278034056647
1636,x7138d,female,30,Dutch,Rugby,56,False,False,False,False,0,False,master,B,False,0.00011986008793432495
2075,x6435g,male,29,Dutch,Football,63,True,False,False,True,3,False,bachelor,C,False,0.23745818633003693
774,x6729d,female,23,Dutch,Cricket,58,False,True,False,False,1,True,bachelor,A,False,0.08266297415861557
2346,x4246f,female,26,Dutch,Cricket,69,True,True,False,False,2,True,bachelor,C,False,0.0920508745861566
1011,x9413d,female,26,Dutch,Football,66,True,True,False,False,2,False,bachelor,B,False,0.7803091810690718
2995,x3053f,female,22,Dutch,Swimming,76,False,True,False,False,1,True,phd,C,False,0.48825435147732954
930,x6601e,male,28,German,Football,57,False,False,False,False,0,False,bachelor,A,False,0.0076368942420255
2200,x3439b,male,28,Dutch,Tennis,73,False,True,False,False,2,True,bachelor,C,False,0.043729211813637064
1766,x7029a,male,27,Dutch,Golf,67,False,False,True,False,1,False,master,B,False,0.015131251696260664
593,x8677c,male,25,German,Tennis,56,False,True,False,False,1,False,bachelor,A,False,0.04238144254475735
308,x3848c,female,22,Dutch,Running,57,False,False,False,False,0,False,bachelor,A,False,0.00584198029586389
3113,x8674d,male,26,Dutch,Football,61,False,False,False,False,2,False,bachelor,D,False,0.021447988923286313
2571,x2609b,other,22,Dutch,Tennis,75,False,True,False,True,2,True,master,C,False,0.08025656422752607
1666,x5752e,female,29,Dutch,Cricket,60,False,False,True,False,1,False,master,B,False,0.00993823245578569
2206,x1670g,female,22,German,Tennis,72,True,True,False,False,2,True,master,C,False,0.039979558563412496
2537,x5254g,male,30,Dutch,Rugby,53,False,False,False,False,1,False,bachelor,C,False,0.15359918089550278
1994,x5577e,male,27,Dutch,Football,64,False,False,False,False,2,False,master,B,True,0.6348684012525908
3601,x9181f,male,28,Dutch,Cricket,57,False,False,False,False,1,False,master,D,False,0.007025935305803937
2079,x2471a,male,26,Dutch,Tennis,74,True,True,False,True,2,True,master,C,False,0.0997229694414545
995,x2659d,male,30,Dutch,Tennis,54,True,False,False,True,2,False,bachelor,A,False,0.2496805504691096
2154,x2620d,male,22,Dutch,Football,72,False,True,False,False,2,True,bachelor,C,False,0.02120088243057573
688,x1400a,male,26,Dutch,Cricket,66,False,False,True,False,0,True,master,A,False,0.023458379538991835
2923,x9321d,male,23,Dutch,Football,77,False,True,False,True,2,True,master,C,False,0.15779210081205575
1063,x3086b,female,28,Dutch,Football,66,False,True,False,False,1,True,bachelor,B,False,0.004549797726041034
291,x5968g,female,23,Dutch,Swimming,65,False,False,True,False,1,True,master,A,True,0.609459146742699
3210,x3009b,female,25,Dutch,Tennis,64,False,True,False,False,1,True,bachelor,D,False,0.18671525322427043
2709,x9334b,female,24,Dutch,Swimming,54,True,False,False,True,3,False,master,C,True,0.16472430816476355
1259,x8674c,female,21,German,Tennis,56,False,False,False,False,1,False,bachelor,B,False,0.019581593195850188
1238,x4811g,female,22,Dutch,Swimming,60,False,False,False,False,1,False,bachelor,B,False,0.017365055161368086
1941,x2392c,female,29,Belgian,Football,60,False,True,False,False,0,True,master,B,False,1.8965620094787105e-05
3462,x5689b,female,21,Belgian,Running,61,False,True,False,False,1,False,bachelor,D,False,0.03778186460463874
672,x3610b,female,21,Dutch,Football,59,False,False,False,False,2,False,bachelor,A,False,0.5960481636847726
2703,x9893b,female,23,Dutch,Swimming,74,False,True,True,False,1,True,phd,C,True,0.9040857193200759
2939,x6968b,female,28,Dutch,Swimming,70,False,True,False,False,1,True,master,C,True,0.3125624094698921
621,x4471f,male,21,Belgian,Swimming,61,False,False,False,False,0,True,bachelor,A,False,0.00571606046875294
1487,x7845g,female,22,Dutch,Chess,75,False,True,False,False,1,True,master,B,False,0.008445748076159281
1273,x2301c,male,26,German,Rugby,66,False,True,True,False,0,True,master,B,False,0.00011762657828404367
4,x6241a,female,26,German,Golf,59,False,False,False,False,1,False,master,A,True,0.48080828844693396
858,x4270f,male,25,German,Rugby,58,True,False,False,True,3,False,master,A,True,0.7002000587927469
2000,x2351g,male,32,Dutch,Rugby,58,False,False,True,False,1,False,master,C,False,0.8599314538348508
1311,x1609f,female,25,Dutch,Swimming,69,False,True,False,False,1,True,bachelor,B,False,0.006789862536988662
585,x5599b,male,26,Dutch,Cricket,55,False,False,True,False,1,False,bachelor,A,False,0.2304637256064808
3939,x2645a,female,28,Dutch,Chess,64,False,False,False,False,0,True,master,D,False,0.20805120202390734
1248,x3240d,male,26,Dutch,Football,62,False,False,False,False,2,False,bachelor,B,False,0.6844234667763099
2951,x9573b,male,25,Dutch,Cricket,71,True,True,False,False,2,True,master,C,False,0.5115935665633207
1693,x7022a,male,32,Dutch,Rugby,69,True,False,False,False,1,True,master,B,False,0.0350301201237069
411,x1746e,female,28,Dutch,Running,59,False,False,False,False,1,True,bachelor,A,False,0.10437972054033912
629,x4400e,male,29,Dutch,Football,55,True,False,False,True,2,False,bachelor,A,True,0.28049867067251444
3209,x3150g,male,24,Dutch,Tennis,60,True,False,False,True,3,False,bachelor,D,False,0.0037407184861093547
2779,x3430g,other,22,Dutch,Football,63,False,False,False,False,1,False,bachelor,C,False,0.07276961593965801
1696,x1955a,female,21,Dutch,Swimming,60,False,False,False,False,1,False,bachelor,B,False,0.01842901796503131
3590,x8122f,female,21,Dutch,Running,58,False,False,False,False,1,False,bachelor,D,False,0.013823249415787902
3666,x2479b,male,26,Dutch,Swimming,73,False,True,False,False,2,True,master,D,True,0.9696037728224818
3664,x8021e,other,25,Dutch,Chess,74,False,True,False,False,2,True,phd,D,True,0.989373099419254
3077,x8268e,male,26,Dutch,Football,55,False,False,False,True,2,False,bachelor,D,False,0.0030500207595132492
2593,x9452a,male,24,Dutch,Golf,62,False,True,False,False,1,False,bachelor,C,True,0.019205066270696413
892,x2097g,female,24,Dutch,Chess,59,False,False,False,False,1,False,bachelor,A,True,0.49491682711125096
3800,x2717e,other,22,Dutch,Swimming,68,False,True,False,False,0,True,master,D,False,0.38224541939070794
3263,x4371g,female,21,Dutch,Chess,58,False,False,False,False,0,False,bachelor,D,False,0.004921098053436722
792,x9961f,female,26,Dutch,Chess,64,False,False,False,False,0,True,bachelor,A,False,0.009031665789076524
3265,x1368g,female,24,Dutch,Football,62,False,False,False,False,2,False,bachelor,D,False,0.03854159629373442
3518,x4221d,female,24,Dutch,Rugby,64,False,False,False,True,2,False,master,D,False,0.47407390886500883
2442,x1495c,male,31,Dutch,Golf,60,False,True,True,False,1,False,master,C,True,0.7890382174084352
3319,x6541f,female,22,German,Chess,64,False,True,False,False,1,False,bachelor,D,False,0.1388657617476722
3451,x6002c,male,27,Dutch,Golf,64,False,False,False,False,1,True,master,D,False,0.6272044311369044
2312,x1651f,male,23,Dutch,Running,68,False,True,False,False,1,True,master,C,False,0.05729476912375823
440,x2534a,male,25,Dutch,Football,67,False,False,False,False,1,True,master,A,False,0.6329379134743187
182,x7508f,male,24,German,Swimming,71,True,True,False,False,2,True,bachelor,A,False,0.3775029176024083
3903,x9408g,male,27,Dutch,Football,62,True,False,False,True,2,False,bachelor,D,False,0.022383171514763846
1493,x1366g,female,29,Dutch,Football,66,True,False,False,True,3,False,master,B,True,0.99590343224403
3012,x7548f,male,25,Dutch,Running,64,True,True,False,False,2,True,bachelor,D,False,0.06904670388720989
1588,x3090e,female,28,Dutch,Rugby,63,False,True,True,False,0,False,master,B,False,0.00017748443854944854
952,x7425e,male,30,Dutch,Cricket,70,False,False,False,False,1,True,phd,A,True,0.6600582529779068
356,x6075g,male,27,Dutch,Football,58,False,False,False,False,1,False,master,A,True,0.6719622959038256
1423,x3000b,male,26,German,Golf,53,False,False,True,False,0,False,bachelor,B,False,8.682717556759516e-05
3199,x8407d,female,21,Dutch,Tennis,59,False,True,False,False,2,False,bachelor,D,False,0.012129374919802052
1923,x6429a,male,26,Dutch,Tennis,68,False,True,False,False,1,True,master,B,False,0.02392753789475377
791,x4608d,male,25,Dutch,Tennis,59,False,False,True,False,1,False,master,A,True,0.9377960657999191
719,x3156c,female,22,Dutch,Football,62,False,False,False,False,1,True,bachelor,A,False,0.13789755377719173
2072,x6634f,male,27,Dutch,Football,60,False,True,False,False,1,True,bachelor,C,False,0.004537737360735146
355,x8323c,male,30,Dutch,Football,68,False,False,True,False,1,True,phd,A,True,0.6257622375256799
2616,x2729a,female,22,Dutch,Chess,61,False,False,False,False,1,False,master,C,False,0.5099492945427163
3153,x7363g,male,30,Dutch,Cricket,66,False,False,True,False,1,True,master,D,True,0.4324182663875927
1589,x4048b,female,22,Dutch,Football,58,False,False,False,False,1,False,bachelor,B,False,0.014952237134358453
1573,x4478b,female,21,Dutch,Chess,68,True,False,False,False,2,True,master,B,False,0.6778975030834745
2076,x2928f,female,28,Dutch,Swimming,66,False,True,False,False,1,True,bachelor,C,False,0.026462085014595783
1639,x2552e,male,28,Belgian,Rugby,63,False,False,False,False,1,False,master,B,False,0.0246919622069769
3659,x9705a,female,23,Dutch,Swimming,73,False,True,False,False,1,True,master,D,True,0.9562907040470673
2790,x4497c,male,25,German,Football,65,True,True,False,False,2,True,bachelor,C,True,0.007171874348603564
1724,x3135a,male,24,Belgian,Rugby,63,False,False,False,True,1,True,bachelor,B,False,0.021430224905327557
547,x7476g,male,25,Dutch,Swimming,70,False,True,False,False,1,True,bachelor,A,False,0.3410744851089014
3059,x8828g,male,31,Dutch,Swimming,54,False,False,False,False,1,False,master,D,False,0.0014141583757427342
110,x7366b,male,28,German,Football,62,False,False,False,True,2,False,bachelor,A,True,0.6415040810798994
2581,x4287g,male,24,Belgian,Rugby,60,False,False,False,False,1,False,bachelor,C,False,0.1482390136589636
3470,x7672a,female,27,Dutch,Chess,67,False,True,False,False,1,True,bachelor,D,True,0.6914906819782797
342,x8415b,male,26,German,Football,62,True,False,True,True,3,False,master,A,True,0.9624211244582045
1237,x7581g,male,27,Dutch,Rugby,59,False,False,True,False,0,False,master,B,False,0.00028410230911399796
328,x3888b,male,26,Dutch,Football,57,False,False,False,False,1,False,bachelor,A,False,0.38533286301581116
2866,x3359c,male,28,Dutch,Rugby,52,True,False,True,False,2,False,master,C,True,0.4633327311561153
3519,x8516f,female,22,Dutch,Football,57,False,False,False,False,2,True,bachelor,D,False,0.018836647329399107
221,x3636a,female,27,Dutch,Running,64,False,False,False,False,0,True,master,A,False,0.006876826917670835
605,x3206e,male,22,Dutch,Swimming,62,False,True,False,False,1,True,bachelor,A,False,0.0824316581240036
44,x1060e,female,21,Dutch,Tennis,67,False,False,False,False,2,True,bachelor,A,False,0.2594319424876848
211,x6688c,female,24,Dutch,Running,58,False,False,False,False,1,False,bachelor,A,True,0.2791550948316178
2227,x5618g,male,27,Dutch,Cricket,62,False,True,True,False,0,False,master,C,False,0.15367489760776804
103,x8519g,male,27,Dutch,Football,69,False,True,False,False,1,True,master,A,False,0.5068765719215512
2304,x6430a,male,25,Belgian,Rugby,55,False,False,True,False,2,False,master,C,True,0.6927270457205678
962,x5954b,male,29,Belgian,Football,60,False,False,False,False,1,False,bachelor,A,False,0.47164080589753365
2873,x8116d,female,22,Dutch,Golf,67,False,False,False,True,1,True,master,C,False,0.0545012239273239
1811,x5017c,male,29,Belgian,Rugby,56,True,False,False,True,3,False,bachelor,B,True,0.9776454887054626
3250,x7373a,female,30,Dutch,Rugby,59,True,False,False,True,2,False,bachelor,D,False,0.017628869599415155
2394,x3086e,female,26,Dutch,Rugby,50,False,False,False,False,2,False,bachelor,C,False,0.02586205387199396
2282,x7516c,female,28,Dutch,Swimming,65,False,False,True,False,1,True,master,C,True,0.8564468952952965
2256,x7391d,female,25,Belgian,Swimming,61,False,True,True,False,0,False,master,C,False,0.08335197642188207
2874,x4002f,male,26,Dutch,Football,68,False,True,False,False,2,True,bachelor,C,False,0.030887738987621975
807,x5894c,female,28,Belgian,Swimming,58,False,False,False,False,1,False,bachelor,A,False,0.43156066546592387
888,x7042b,male,26,Belgian,Football,56,True,False,False,True,2,False,bachelor,A,True,0.26856242058401586
492,x5139d,male,22,Belgian,Running,69,False,False,False,False,1,True,master,A,False,0.5749993053083543
778,x4099g,male,28,German,Rugby,60,False,False,True,False,2,False,master,A,True,0.960343855240943
3643,x4117a,female,27,Dutch,Swimming,61,False,False,False,False,0,True,bachelor,D,False,0.04619729812447527
3776,x5272g,male,31,German,Swimming,64,False,True,False,False,1,True,bachelor,D,False,0.31790141022884694
3785,x4974a,male,30,Dutch,Rugby,67,True,False,False,True,3,False,master,D,True,0.35394707940741926
1567,x9288d,male,25,Dutch,Rugby,50,True,False,False,False,2,False,bachelor,B,True,0.728360974539595
434,x2240a,female,26,Dutch,Football,60,False,False,False,False,1,True,bachelor,A,False,0.15450942043877353
2864,x7235c,female,24,Dutch,Football,64,False,True,False,False,1,True,bachelor,C,False,0.003830392235214914
3682,x9592e,female,28,Dutch,Swimming,70,False,True,False,False,1,True,master,D,True,0.949331395791583
1322,x2070e,female,31,Dutch,Swimming,62,False,False,True,False,1,False,master,B,False,0.009362392742851305
3019,x9461e,male,30,Dutch,Rugby,67,False,False,False,False,1,True,master,D,True,0.7281785915651474
1426,x5844f,male,28,Belgian,Cricket,59,False,False,True,False,0,False,master,B,False,0.00013273968717586218
525,x2157e,other,22,Dutch,Chess,73,False,True,False,False,1,True,master,A,True,0.845134277528878
1436,x3933e,male,27,Dutch,Rugby,63,True,False,False,True,1,False,master,B,False,0.12827376885247055
185,x5251b,female,22,Dutch,Running,65,False,True,False,False,0,True,bachelor,A,False,0.0019205500170190592
3941,x5076c,female,30,Dutch,Rugby,70,False,True,True,False,1,True,master,D,True,0.9164512332056737
134,x3931f,female,23,Dutch,Cricket,58,False,True,False,False,1,True,bachelor,A,False,0.08266297415861557
3533,x5154g,female,22,Dutch,Swimming,61,False,False,False,False,2,False,bachelor,D,False,0.029424994446093488
2912,x8457c,male,24,Dutch,Football,51,False,False,False,True,2,False,bachelor,C,True,0.01655620668443429
69,x1857b,female,27,Dutch,Chess,71,False,True,False,False,0,True,phd,A,False,0.01144513393645885
3971,x9554f,male,28,Dutch,Football,55,True,False,False,True,3,False,master,D,False,0.007615195830631929
2996,x5516e,male,26,Belgian,Cricket,65,False,False,True,True,2,False,phd,C,True,0.996867231214118
2319,x9510g,male,22,Dutch,Running,72,False,True,False,False,2,True,master,C,False,0.1998455647362208
1629,x7933a,female,30,Dutch,Golf,64,False,False,True,False,1,False,phd,B,False,0.006341927782184568
2221,x1754e,female,25,German,Chess,69,False,False,True,False,0,True,phd,C,False,0.09365123566540498
2450,x7369c,male,31,Belgian,Cricket,63,False,False,True,False,0,True,master,C,False,0.07275384112766412
3990,x4316d,male,25,Dutch,Football,59,True,False,False,True,3,False,master,D,False,0.023641269160406295
1481,x4705b,female,25,Belgian,Cricket,71,True,True,False,False,2,True,master,B,False,0.5969891134023347
2445,x1918a,female,30,Belgian,Swimming,62,False,False,False,False,2,True,bachelor,C,False,0.2713918406045958
3183,x8226f,female,28,Dutch,Swimming,63,False,True,False,False,0,True,bachelor,D,False,0.04317586397170928
3852,x4910e,male,30,Dutch,Golf,61,False,False,True,False,1,False,phd,D,False,0.06924007919068705
3047,x2190e,male,26,Dutch,Rugby,45,False,False,False,False,1,False,bachelor,D,False,5.631981466430039e-05
3040,x3629f,male,32,Dutch,Swimming,60,False,False,False,False,0,False,master,D,False,0.0033380797815621126
3357,x2537a,male,25,Dutch,Rugby,55,True,False,False,True,2,False,bachelor,D,False,0.0024250037999650007
2424,x2393c,male,27,Dutch,Football,59,False,False,False,True,2,False,bachelor,C,False,0.08842238788157482
1560,x8921f,male,23,Dutch,Tennis,69,True,False,False,True,2,True,master,B,True,0.8400613611067131
2775,x8069f,female,22,Dutch,Chess,60,False,False,False,False,0,False,bachelor,C,False,0.01944277309440138
3066,x2276d,female,23,Dutch,Swimming,62,False,False,False,False,1,True,bachelor,D,False,0.27137526553164343
486,x4471e,female,25,German,Swimming,70,False,True,False,False,0,True,master,A,False,0.013769758560868248
3475,x1893d,male,25,Dutch,Cricket,74,False,True,False,True,2,True,bachelor,D,True,0.8304725121263379
2395,x6511a,male,30,Dutch,Rugby,55,False,False,False,False,1,False,bachelor,C,False,0.22222659516384277
